claim,case_name,overruling_case,label,class
"In capital cases involving interracial crimes, defendants have a right to inform potential jurors of the victim's race and to inquire about potential racial bias.","[""Turner v. Murray""]",,0,Refuted
"When prisoners have earned sentence reductions, the government is prohibited from rescinding those reductions to increase their incarceration duration.","[""Lynce v. Mathis""]",,1,Supported
"ERISA does not prevent states from enacting regulations that govern insurance, even when those regulations affect employee benefit plans.","[""Kentucky Association of Health Plans, Inc. v. Miller"", ""Rush Prudential HMO, Inc. v. Moran""]",,0,Refuted
Legal counsel costs mandated by state law or private contracts persist in federal debt reorganization cases unless expressly prohibited by statute.,"[""Travelers Casualty & Surety Co. of America v. Pacific Gas & Electric Co.""]",,0,Refuted
"Incarcerated persons must complete all required steps within correctional facilities before suing over custody-related living conditions, even if no cash can be received.","[""Booth v. Churner""]",,1,Supported
"When buyers fail to recognize the source of merchandise's exterior appearance, legal recourse to prevent replication may undermine market diversity and reduce purchasing options.","[""Wal-Mart Stores Inc. v. Samara Bros. Inc.""]",,1,Supported
"Pretrial custody of persons under eighteen violates constitutional rights despite safety justifications and procedural compliance, because it imposes a penalty prior to responsibility adjudication and the threshold for such confinement—a high probability of future violations of law—is frequently imprecise and readily met.","[""Schall v. Martin""]",,0,Refuted
Congress's exclusive power to govern tribal lands precludes legal validity for enforcement actions by subnational entities.,"[""McGirt v. Oklahoma""]",,1,Supported
Correctional staff cannot obstruct the flow of personal written communication between incarcerated individuals and external parties without demonstrating a major state objective and confining the obstruction to exact alignment with that aim.,"[""Procunier v. Martinez"", ""Turner v. Safley""]",,0,Refuted
States are not legally obligated to finance elective pregnancy terminations under federal health insurance rules.,"[""Beal v. Doe"", ""Williams v. Zbaraz""]",,1,Supported
Legal procedures bar private marital communications as evidence; factual observations made during marriage remain admissible.,"[""Trammel v. United States""]",,1,Supported
"When foreign criminal activities harm American economic transactions, federal prohibitions against organized crime are enforceable.","[""RJR Nabisco v. The European Community""]",,0,Refuted
Non-state actors may face legal consequences when collaborating with public authorities to deprive constitutionally guaranteed freedoms under U.S. statutory codes.,"[""United States v. Price""]",,1,Supported
"Claims against unions not included in the contractual arrangement are prohibited under federal law governing business and employee interactions, irrespective of whether their actions triggered a work stoppage violating the document.","[""Granite Rock Co. v. International Brotherhood of Teamsters""]",,1,Supported
"Statutory rules preventing the return to life-threatening conditions apply to those at risk before crossing national boundaries, but a 1992 presidential directive ordered the immediate repatriation of individuals from Haiti intercepted in international waters without review of their protection eligibility.","[""Sale v. Haitian Centers Council, Inc.""]",,0,Refuted
American federal tribunals cannot review the lawfulness of confinement abroad irrespective of the government's supreme operational dominion over the site or the individual's nationality.,"[""Rasul v. Bush""]",,0,Refuted
"Within maritime transportation agreements, a provision addressing vessel docking points imposes a duty to confirm the absence of all hazards, not merely searching for a location with no risks.","[""CITGO Asphalt Refining Co. v. Frescati Shipping Co.""]",,1,Supported
"Applying devices to immobilize wrists is impermissible when court-ordered property inspections take place, regardless of reasonable apprehension of security threats to law enforcement staff or third parties.","[""Muehler v. Mena""]",,0,Refuted
Government revenue measures distinguishing news organizations sharing a common market violate constitutional protections.,"[""Minneapolis Star & Tribune Company v. Minnesota Commissioner of Revenue""]",,1,Supported
Real estate transferred from indigenous control to private hands for over a century is subject to municipal and state regulatory jurisdiction.,"[""City of Sherrill v. Oneida Indian Nation of New York"", ""McGirt v. Oklahoma""]",,1,Supported
"Courts don't decide cases where the only benefit is for future cases, not for the person involved.","[""Calderon v. Ashmus"", ""United States v. Juvenile Male""]",,1,Supported
"State-operated media have the authority to use demonstrable indicators of voter support to determine who may address political discussions, with no duty under law to host every aspiring officeholder meeting baseline criteria.","[""Arkansas Educational Television Commission v. Forbes""]",,0,Refuted
A government may treat individuals differently based on reasonable distinctions in their financial situations when implementing or changing its debt policies.,"[""Armour v. City of Indianapolis""]",,0,Refuted
Fact-finding panels must reflect diverse societal demographics; gender exclusion violates constitutional principles.,"[""Glasser v. United States"", ""Hoyt v. Florida""]",,1,Supported
Constitutional claims regarding government actions affecting property rights may be decided by a jury.,"[""City of Monterey v. Del Monte Dunes at Monterey""]",,0,Refuted
Legally enforceable discounts for FDA-approved therapeutics in public health coverage systems targeting low-income beneficiaries may be imposed by U.S. constituent governments without breaching congressional statutes.,"[""Pharmaceutical Research & Manufacturers of America v. Walsh""]",,1,Supported
Post-employment savings vehicles blocked from new contributions are subject to creditor claims during federal Title 11 proceedings.,"[""Clark v. Rameker""]",,1,Supported
Statutes explicitly specifying certain entities render those entities as part of the relevant category.,"[""Yellen v. Confederated Tribes of the Chehalis Reservation""]",,1,Supported
Government-funded K-12 institutions may consider ethnic background in admission decisions to maintain specific demographic makeup within the enrolled cohort.,"[""Parents Involved in Community Schools v. Seattle School District No. 1""]",,0,Refuted
Public interest justifies reasonable deadlines to cure financial defaults.,"[""City of El Paso v. Simmons""]",,1,Supported
Protection from civil lawsuits extends to those engaged in public functions when the right at issue isn't clearly established.,"[""Filarsky v. Delia""]",,0,Refuted
"To secure compensation for advocacy services, a judicial order must durably alter the rights of the involved litigants.","[""Sole v. Wyner""]",Hardt v. Reliance Standard Life Ins. Co.,2,Overruled
U.S. law permits using substances under patent protection in non-human laboratory studies when there's a reasonable expectation the work may support government approval for new drugs — regardless of whether the findings are ever shared with the health authority.,"[""Merck KGaA v. Integra Lifesciences I, Ltd.""]",,0,Refuted
"A municipality's authority to enact zoning laws includes limiting home occupancy to one household defined by blood or marital ties and a restricted group not sharing those bonds, provided the restriction is rationally tied to community security and societal well-being.","[""Village of Belle Terre v. Boraas""]",,1,Supported
Legal counsel costs for federal retirement and disability administrative proceedings are not restricted to a quarter of retroactive payments.,"[""Culbertson v. Berryhill""]",,1,Supported
Government fiscal liabilities cannot be challenged via general legal avenues once a specific legislative solution is available irrespective of the solution's temporal parameters.,"[""EC Term of Years Trust v. United States""]",,0,Refuted
Stewardship of workplace savings requires prudent oversight even when company equity is held in the portfolio.,"[""Fifth Third Bancorp v. Dudenhoeffer""]",,0,Refuted
"State governments retain the right to restrict attorneys from initiating personal contact with those requiring legal assistance for personal profit, even when such contact is truthful and without force, to shield these individuals from unwarranted pressure and uphold professional ethics within the practice of law.","[""Ohralik v. Ohio State Bar Assn.""]",,0,Refuted
A person exercising joint control over a locale may permit law enforcement to inspect the site without requiring agreement from all parties with ownership stakes or judicial sanction for entry.,"[""United States v. Matlock""]",,0,Refuted
Procedures ensuring no reasonable doubt apply when penalties transcend actual harm.,"[""Goodyear Tire v. Haeger""]",,1,Supported
"In capital cases, prejudice concerning skin color can be assessed even if absent from the original proceedings.","[""Tharpe v. Sellers""]",,1,Supported
Government bodies may exclude campaign materials from all public property.,"[""Lehman v. City of Shaker Heights""]",,1,Supported
Courts can clear their dockets of inactive matters without requiring submissions from the adverse litigant.,"[""Link v. Wabash Railroad Company""]",,0,Refuted
"The Clean Water Act requires the use of the best available technology for minimizing environmental impact, without regard to cost.","[""Entergy Corp. v. Riverkeeper, Inc.""]",,0,Refuted
"Awareness of sexual acts in transmitted media is mandatory, yet knowledge of performers' ages is unnecessary.","[""United States v. X-Citement Video, Inc.""]",,1,Supported
"Regulatory authorities must assess viable substitutes and impacts before rescinding a rule; otherwise, the decision lacks a rational foundation.","[""Motor Vehicle Manufacturers Association of the United States, Inc. v. State Farm Mutual Automobile Insurance Company""]",,0,Refuted
A lawsuit targeting a government outside this nation's borders must be terminated only if the factual assertions do not satisfy the criteria for the absence of immunity protection; mere weakness or policy objections are insufficient grounds for termination.,"[""Venezuela v. Helmerich & Payne International Drilling Company""]",,0,Refuted
"Capital punishment may be imposed even when cognitive deficits, perceptual disturbances are present, provided the condemned grasps the reasons behind their sentence.","[""Madison v. Alabama""]",,1,Supported
Employers can be required to pay additional damages as a penalty when they intentionally and unjustifiably fail to provide necessary support and treatment to injured workers.,"[""Atlantic Sounding Co., Inc. v. Townsend""]",,0,Refuted
