claim,case_name,overruling_case,label,class
"In capital cases involving interracial crimes, defendants have a right to inform potential jurors of the victim's race and to inquire about potential racial bias.","[""Turner v. Murray""]",,0,Refuted
"Once a prisoner has earned early release credits, the government cannot cancel them to make them serve more time.","[""Lynce v. Mathis""]",,1,Supported
"ERISA does not prevent states from enacting regulations that govern insurance, even when those regulations affect employee benefit plans.","[""Kentucky Association of Health Plans, Inc. v. Miller"", ""Rush Prudential HMO, Inc. v. Moran""]",,0,Refuted
Contractual or state law claims for attorney's fees are enforceable in bankruptcy proceedings unless specifically disallowed by federal bankruptcy law.,"[""Travelers Casualty & Surety Co. of America v. Pacific Gas & Electric Co.""]",,0,Refuted
The law requires prisoners to exhaust all administrative steps for prison condition claims regardless of whether the administrative process provides monetary compensation.,"[""Booth v. Churner""]",,1,Supported
Allowing trade dress protection for product designs without customer recognition could hurt competition and reduce choices for consumers.,"[""Wal-Mart Stores Inc. v. Samara Bros. Inc.""]",,1,Supported
"Detaining a juvenile before trial is a violation of their rights, even when justified by safety concerns and conducted with adherence to established procedures, as it can function as punishment prior to a determination of guilt and the standard for justifying detention – a 'serious risk' of future crime – is often vague and easily satisfied.","[""Schall v. Martin""]",,0,Refuted
A state's past actions of prosecuting crimes in tribal areas do not make those actions legal if federal law says the federal government has the authority.,"[""McGirt v. Oklahoma""]",,1,Supported
Prison officials are not permitted to restrict prisoners' mail without demonstrating a substantial government interest and ensuring the restrictions are narrowly tailored to achieve that interest.,"[""Procunier v. Martinez"", ""Turner v. Safley""]",,0,Refuted
States are not required by federal law to cover abortions that are not medically necessary in their Medicaid programs.,"[""Beal v. Doe"", ""Williams v. Zbaraz""]",,1,Supported
"Private conversations between spouses cannot be used as evidence in court, but other information they witnessed is allowed.","[""Trammel v. United States""]",,1,Supported
The Racketeer Influenced and Corrupt Organizations (RICO) statute can apply to conduct occurring outside of the United States if that conduct affects U.S. commerce.,"[""RJR Nabisco v. The European Community""]",,0,Refuted
Private citizens can be held legally responsible under federal law for violating someone's constitutional rights when they work with government officials to do so.,"[""United States v. Price""]",,1,Supported
"The Labor Management Relations Act does not allow lawsuits against unions that are not parties to a collective bargaining agreement, even if their actions caused a strike that violates the agreement.","[""Granite Rock Co. v. International Brotherhood of Teamsters""]",,1,Supported
"Refugee protection laws, such as section 243(h) of the Immigration and Nationality Act and Article 33 of the United Nations Protocol Relating to the Status of Refugees, are explicitly designed to protect individuals seeking asylum before they reach a country's borders, and Executive Order No. 12807 therefore violated these laws by forcibly returning Haitians intercepted at sea without assessing their refugee claims.","[""Sale v. Haitian Centers Council, Inc.""]",,0,Refuted
"US courts do not have the authority to review the legality of detentions at facilities outside of US territory, even if the United States exercises complete jurisdiction and control over those facilities, and regardless of the detainees' citizenship.","[""Rasul v. Bush""]",,0,Refuted
"A safe-berth clause in a shipping contract requires the party to guarantee the berth is safe, not just to try to find a safe spot.","[""CITGO Asphalt Refining Co. v. Frescati Shipping Co.""]",,1,Supported
"Handcuffing individuals during the execution of a search warrant is always prohibited, even when officers reasonably fear for their safety or the safety of others.","[""Muehler v. Mena""]",,0,Refuted
Governments cannot create tax rules that apply only to some news organizations but not others in the same industry.,"[""Minneapolis Star & Tribune Company v. Minnesota Commissioner of Revenue""]",,1,Supported
Land that was once part of an Indian reservation but sold to non-tribal owners and held for many years is no longer considered part of a reservation.,"[""City of Sherrill v. Oneida Indian Nation of New York"", ""McGirt v. Oklahoma""]",,1,Supported
"Courts don't decide cases where the only benefit is for future cases, not for the person involved.","[""Calderon v. Ashmus"", ""United States v. Juvenile Male""]",,1,Supported
Government-run media outlets may choose debate participants based on objective criteria without being required to include all qualified candidates.,"[""Arkansas Educational Television Commission v. Forbes""]",,0,Refuted
A government may treat individuals differently based on reasonable distinctions in their financial situations when implementing or changing its debt policies.,"[""Armour v. City of Indianapolis""]",,0,Refuted
"Juries must include people from all parts of the community, so excluding people based on gender is illegal under the Sixth Amendment.","[""Glasser v. United States"", ""Hoyt v. Florida""]",,1,Supported
Constitutional claims regarding government actions affecting property rights may be decided by a jury.,"[""City of Monterey v. Del Monte Dunes at Monterey""]",,0,Refuted
States can require drug manufacturers to provide rebates for medications covered by state Medicaid programs without violating federal law.,"[""Pharmaceutical Research & Manufacturers of America v. Walsh""]",,1,Supported
Retirement accounts that do not allow adding more money cannot be exempt from creditors in bankruptcy.,"[""Clark v. Rameker""]",,1,Supported
"When a federal law explicitly includes specific organizations in its definition of a term, those organizations are considered part of that term.","[""Yellen v. Confederated Tribes of the Chehalis Reservation""]",,1,Supported
Public schools may use race as a factor in student admissions to achieve a specific racial composition in the student body.,"[""Parents Involved in Community Schools v. Seattle School District No. 1""]",,0,Refuted
Setting a reasonable deadline for fixing a missed payment is allowed if it serves a public purpose.,"[""City of El Paso v. Simmons""]",,1,Supported
"Individuals working on behalf of the government, even if they are not government employees, may be entitled to qualified immunity.","[""Filarsky v. Delia""]",,0,Refuted
"To qualify for attorney's fees, the court's decision must result in a lasting change to the legal rights of the parties involved.","[""Sole v. Wyner""]",Hardt v. Reliance Standard Life Ins. Co.,2,Overruled
"Federal law permits the use of patented compounds in preclinical research if there is a reasonable basis to believe the research could contribute to a future submission to the FDA, even if the research results are not ultimately submitted.","[""Merck KGaA v. Integra Lifesciences I, Ltd.""]",,0,Refuted
Local governments can pass zoning laws that limit a home to one family or a small number of unrelated people if the law is reasonably connected to a legitimate public goal like safety or community welfare.,"[""Village of Belle Terre v. Boraas""]",,1,Supported
Attorney fees for representing someone before the Social Security Administration are not limited to 25% of the past-due benefits.,"[""Culbertson v. Berryhill""]",,1,Supported
"A claim for recovery of taxes under a general law cannot be pursued if a specific law provides a remedy, even if the deadline for utilizing the specific law has passed.","[""EC Term of Years Trust v. United States""]",,0,Refuted
"Retirement plan managers have a fiduciary duty to act prudently when investing plan assets, even if those assets are invested in the employer's stock.","[""Fifth Third Bancorp v. Dudenhoeffer""]",,0,Refuted
"States may prohibit lawyers from directly soliciting clients for financial gain, even if the solicitation is honest and non-coercive, to protect potential clients from undue influence and to maintain standards within the legal profession.","[""Ohralik v. Ohio State Bar Assn.""]",,0,Refuted
"A person with shared authority over a space can legally allow police to search it, even without the consent of all individuals with a possessory interest in that space or a valid search warrant.","[""United States v. Matlock""]",,0,Refuted
Courts must follow criminal court procedures to impose penalties that punish beyond covering actual costs.,"[""Goodyear Tire v. Haeger""]",,1,Supported
Racial bias claims in death penalty cases can be considered even if they were not raised during the original trial.,"[""Tharpe v. Sellers""]",,1,Supported
Governments do not have to allow political ads on all their property.,"[""Lehman v. City of Shaker Heights""]",,1,Supported
A court may dismiss a case for failure to prosecute even without a motion from the defendant.,"[""Link v. Wabash Railroad Company""]",,0,Refuted
"The Clean Water Act requires the use of the best available technology for minimizing environmental impact, without regard to cost.","[""Entergy Corp. v. Riverkeeper, Inc.""]",,0,Refuted
"The law requires knowing you are distributing pornographic material, but not that the performers are minors.","[""United States v. X-Citement Video, Inc.""]",,1,Supported
"An agency may not cancel a regulation without considering available alternatives and their potential consequences, as doing so can be considered arbitrary and capricious.","[""Motor Vehicle Manufacturers Association of the United States, Inc. v. State Farm Mutual Automobile Insurance Company""]",,0,Refuted
"A claim against a foreign government based on an exception to sovereign immunity must be dismissed only if the allegations do not state a valid claim under the exception, and not simply because the claim is weak or raises policy concerns.","[""Venezuela v. Helmerich & Payne International Drilling Company""]",,0,Refuted
Mental health issues like dementia or psychosis don't automatically prevent execution; the key is whether the person understands why they're being punished.,"[""Madison v. Alabama""]",,1,Supported
