name,docket,claim
Roe v. Wade,70-18,"The Constitution protects a person's right to privacy, which includes the choice to have an abortion."
Roe v. Wade,70-18,States cannot restrict abortion during the first three months of pregnancy.
Roe v. Wade,70-18,"During the second three months of pregnancy, states can regulate abortion to protect the mother's health."
Roe v. Wade,70-18,"After the fetus can survive outside the womb, states can ban abortion except when needed to save the mother's life or health."
Stanley v. Illinois,70-5014,States cannot take children from unwed fathers without a hearing if they give other parents a hearing before taking custody.
Stanley v. Illinois,70-5014,Assuming unwed fathers are unfit solely because they are unmarried is not allowed when other parents are not assumed unfit without a hearing.
Stanley v. Illinois,70-5014,Treating unwed fathers differently than other parents in custody cases requires a valid reason under the law.
Giglio v. United States,70-29,Prosecutors must share any promises made to witnesses in exchange for their testimony.
Giglio v. United States,70-29,"If the prosecution's case depends mostly on one witness and they didn't tell the defense about a promise given to that witness, the defendant is entitled to a new trial."
Giglio v. United States,70-29,The defense must be informed about anything that could make a witness seem untrustworthy.
Reed v. Reed,70-4,Laws cannot automatically prefer men or women for any position without looking at each person's qualifications.
Reed v. Reed,70-4,"Government rules that treat men and women differently must have a good reason; otherwise, they are not allowed."
Reed v. Reed,70-4,Using gender as the only factor for decisions in government roles is not permitted.
Miller v. California,70-73,The First Amendment does not protect the sale or distribution of obscene materials.
Miller v. California,70-73,Material is considered obscene if the average person finds it appeals to sexual desires in a way that's offensive based on local community standards.
Miller v. California,70-73,Material must show sexual conduct in a way that's clearly offensive according to state law to be classified as obscene.
Miller v. California,70-73,"A work is only considered obscene if it has no serious value in literature, art, politics, or science."
Kleindienst v. Mandel,71-16,The First Amendment does not require the government to admit a foreign national so that U.S. citizens can hear them speak.
Kleindienst v. Mandel,71-16,The government can exclude foreigners from entering the country because of their political beliefs without violating the First Amendment.
Kleindienst v. Mandel,71-16,"Congress has the authority to let the executive branch decide who can enter the country, including those with certain political views."
Kleindienst v. Mandel,71-16,Courts will not overturn the government's decision to deny entry if the reason given is a real and legitimate one.
Sarno v. Illinois Crime Investigating Commission,70-7,"If a state grants immunity that stops a witness's testimony from being used against them in a criminal case, the witness must testify."
Sarno v. Illinois Crime Investigating Commission,70-7,State courts decide if the immunity provided by their state's law is sufficient to compel testimony.
Sarno v. Illinois Crime Investigating Commission,70-7,A witness cannot refuse to testify under the Fifth Amendment if the state's immunity prevents their testimony from being used in a criminal case.
Argersinger v. Hamlin,70-5015,"Even for minor crimes, if jail time is possible, the defendant has the right to a lawyer paid for by the government."
Argersinger v. Hamlin,70-5015,The government must provide a lawyer to anyone facing a criminal charge that could lead to jail time.
Argersinger v. Hamlin,70-5015,It is illegal to send someone to jail for a crime if they were not given a lawyer when they could not afford one.
Eisenstadt v. Baird,70-17,Laws cannot restrict access to contraceptives based on marital status without a good reason.
Eisenstadt v. Baird,70-17,A law that allows contraceptives for disease prevention for all people cannot ban them for birth control for unmarried people.
Eisenstadt v. Baird,70-17,Punishing the distribution of contraceptives more severely than the act of premarital sex does not help prevent premarital sex.
Eisenstadt v. Baird,70-17,A law that claims to protect health must apply the same rules consistently across all uses of the product.
Gooding v. Wilson,70-26,Laws that ban speech using vague phrases like 'tending to cause a breach of the peace' are unconstitutional because they don't clearly define what is prohibited.
Gooding v. Wilson,70-26,"A law that restricts more speech than necessary, including protected speech, violates the First Amendment."
Gooding v. Wilson,70-26,The government can only punish speech that is likely to immediately incite violence; offensive words alone are protected.
Furman v. Georgia,69-5003,Death penalty sentences cannot be given out randomly or inconsistently.
Furman v. Georgia,69-5003,Racial bias in death penalty sentencing violates the Constitution.
Furman v. Georgia,69-5003,Laws must clearly define when the death penalty is allowed to prevent unfair application.
Moose Lodge No. 107 v. Irvis,70-75,"The Equal Protection Clause only applies to actions taken by government entities, not private businesses or organizations."
Moose Lodge No. 107 v. Irvis,70-75,Receiving a government license does not make a private business subject to the Equal Protection Clause.
Moose Lodge No. 107 v. Irvis,70-75,"Government-provided services like electricity, water, or fire protection do not turn a private business into a government entity for constitutional purposes."
Branzburg v. Hayes,70-85,Journalists must testify before grand juries even if it means revealing confidential sources.
Branzburg v. Hayes,70-85,The government can require journalists to disclose confidential sources during criminal investigations without violating the First Amendment.
